date,ticker,price
2000-01-03,AAPL,3.660058
2000-01-04,AAPL,3.351477
2000-01-05,AAPL,3.400523
2000-01-06,AAPL,3.106247
2000-01-07,AAPL,3.253385
2000-01-10,AAPL,3.196165
2000-01-11,AAPL,3.032678
2000-01-12,AAPL,2.850799
2000-01-13,AAPL,3.163467
2000-01-14,AAPL,3.284039
2000-01-18,AAPL,3.398479
2000-01-19,AAPL,3.48431
2000-01-20,AAPL,3.711147
2000-01-21,AAPL,3.639622
2000-01-24,AAPL,3.474092
2000-01-25,AAPL,3.670276
2000-01-26,AAPL,3.602838
2000-01-27,AAPL,3.596707
2000-01-28,AAPL,3.322867
2000-01-31,AAPL,3.392348
2000-02-01,AAPL,3.277908
2000-02-02,AAPL,3.230905
2000-02-03,AAPL,3.378043
2000-02-04,AAPL,3.531312
2000-02-07,AAPL,3.72954
2000-02-08,AAPL,3.756107
2000-02-09,AAPL,3.682537
2000-02-10,AAPL,3.711147
2000-02-11,AAPL,3.555835
2000-02-14,AAPL,3.78676
2000-02-15,AAPL,3.890983
2000-02-16,AAPL,3.731583
2000-02-17,AAPL,3.756107
2000-02-18,AAPL,3.637579
2000-02-22,AAPL,3.721365
2000-02-23,AAPL,3.801065
2000-02-24,AAPL,3.766834
2000-02-25,AAPL,3.608968
2000-02-28,AAPL,3.702973
2000-02-29,AAPL,3.747932
2000-03-01,AAPL,4.260872
2000-03-02,AAPL,3.989075
2000-03-03,AAPL,4.185259
2000-03-06,AAPL,4.109646
2000-03-07,AAPL,4.017685
2000-03-08,AAPL,3.989075
2000-03-09,AAPL,3.997249
2000-03-10,AAPL,4.11169
2000-03-13,AAPL,3.966595
2000-03-14,AAPL,3.73567
2000-03-15,AAPL,3.801065
2000-03-16,AAPL,3.97477
2000-03-17,AAPL,4.087167
2000-03-20,AAPL,4.021772
2000-03-21,AAPL,4.412096
2000-03-22,AAPL,4.714547
2000-03-23,AAPL,4.620542
2000-03-24,AAPL,4.534712
2000-03-27,AAPL,4.563322
2000-03-28,AAPL,4.549017
2000-03-29,AAPL,4.444794
