date,us,norway,uk,italy
02.01.1997,-0.007505188,-0.002595476,-0.024147289,-0.006000639
03.01.1997,0.014872343,0.005111524,0.007948197,-0.003661585
06.01.1997,0.000371782,0.01063338,0.001021338,-0.004195855
07.01.1997,0.007912912,0.001921317,0.001601113,0.004014644
08.01.1997,-0.00519289,0.009405534,-0.001078197,0.009721346
09.01.1997,0.008200646,0.007689524,0.002858429,0.034732567
10.01.1997,0.006127263,0.002334141,-0.013324793,0.028938997
13.01.1997,-0.000456746,0.014957456,0.004354353,0.018597636
14.01.1997,0.012215926,-0.003176844,0.013575012,0.029420633
15.01.1997,-0.002693593,0.006285411,0.003532369,-0.013752929
16.01.1997,0.003576009,0.011876485,0.006325839,0.014611257
17.01.1997,0.007968487,-0.003042949,-0.001369179,0.008546842
20.01.1997,0.002088243,0.00837185,-0.00578625,-0.006642804
21.01.1997,0.006623798,-0.015393929,0.000196693,-0.01088135
22.01.1997,0.005131087,-0.005445762,-0.000891499,0.007469691
23.01.1997,-0.010562862,-0.001236421,-0.00522911,0.017193639
24.01.1997,-0.009560485,0.007781413,-0.010051511,-0.008256152
27.01.1997,-0.007506042,0.001403878,-0.004210667,-0.01072741
28.01.1997,0.000302512,-0.002716201,-0.004290917,-0.005399018
29.01.1997,0.007999032,-0.004568617,-4.47963E-05,-0.020728722
30.01.1997,0.014205994,0.008826125,0.001285713,0.007560778
31.01.1997,0.003461078,0.011898513,0.002319812,0.013770714
03.02.1997,-0.000265318,0.005965762,0.002064474,-0.01703535
04.02.1997,0.002432731,0.009454233,0.005207347,0.012397108
05.02.1997,-0.013972643,-0.005449127,0.012822416,0.013867458
06.02.1997,0.003192124,0.001198528,-0.00331433,-0.005073072
07.02.1997,0.011077408,-0.005301411,0.003050982,0.011099998
10.02.1997,-0.005882439,-0.000257887,0.006243148,-0.003452489
11.02.1997,0.004926108,-0.017798796,0.004645155,-0.014792036
12.02.1997,0.016442914,0.006565701,-0.00533368,-0.012827858
13.02.1997,0.01055772,0.002609149,-0.002359055,0.001580959
14.02.1997,-0.002894895,0.00407703,0.002478066,-0.00685999
17.02.1997,0,-0.005010799,-0.002752645,-0.019991148
18.02.1997,0.008020007,0.014760788,-0.01032309,-0.013391727
19.02.1997,-0.003507571,0.016342945,0.011837411,-0.007740432
20.02.1997,-0.011919071,-0.002862435,-0.000324668,0.022332975
21.02.1997,-0.002259069,0.004643701,0.001257678,0.006249274
24.02.1997,0.010130771,-0.020253803,0.007584482,-7.4743E-05
25.02.1997,0.003060477,-0.002401784,0.003802585,-0.002439522
26.02.1997,-0.007147973,-0.025107481,-0.002727059,-0.026110176
27.02.1997,-0.013634199,-0.006967719,-0.002223009,-0.012254491
28.02.1997,-0.004549045,-0.010924594,-0.003149429,-0.020826252
03.03.1997,0.005275145,-0.022000718,-0.007911468,0.010276623
04.03.1997,-0.004034262,0.002387292,0.007762399,-0.001188295
05.03.1997,0.012885614,0.00348081,-0.003624502,-0.007582599
06.03.1997,-0.00405703,0.014331356,0.009525511,0.013757294
07.03.1997,0.006997789,-0.000449964,-0.001232048,0.01399802
10.03.1997,0.009939755,0.021788062,0.001587867,-0.003751528
11.03.1997,-0.002102854,0.007401533,0.003716406,-0.003293185
12.03.1997,-0.007941741,-0.001224525,-0.011075701,-0.013881322
13.03.1997,-0.016790937,-0.006305281,-0.001323369,-0.000882486
14.03.1997,0.003968137,0.000528774,0.005927151,0.003547423
17.03.1997,0.000936878,-0.006165771,-0.017940576,-0.019785331
18.03.1997,-0.007239382,-0.005140477,-0.003125482,-0.006679563
19.03.1997,-0.005774812,-0.001870824,0.000371196,0.017013302
20.03.1997,-0.002563381,-0.020439129,-0.018935018,-0.004017776
21.03.1997,0.001411254,0.01904328,0.005567487,0.007465773
24.03.1997,0.007135334,-0.006169528,-0.003156771,-0.014424808
25.03.1997,-0.000751193,0.01205578,0.015018563,0.0119981
26.03.1997,0.002609042,0.001422349,0.010853307,0.017148386
27.03.1997,-0.020141727,0.008788282,0.004301278,0.01066926
28.03.1997,0,0.000439986,0.00263728,-0.01448288
31.03.1997,-0.022971432,0.004837717,0.00470201,0.003413796
01.04.1997,0.002564614,-0.050420168,-0.012705034,-0.016208307
02.04.1997,-0.011702714,-0.012813422,-0.002566255,0.003913075
03.04.1997,0.000588965,-0.001774209,-0.006244287,-0.000978051
04.04.1997,0.01166393,-0.000654818,0.003709976,0.003628092
07.04.1997,0.007456631,0.003744267,0.000363459,0.005451155
08.04.1997,0.004559409,0.005315677,-0.004298262,-0.004344414
09.04.1997,-0.006823202,0.002782931,0.005163816,0.008461643
10.04.1997,-0.003853946,-0.001850139,0.00410763,-0.006699727
11.04.1997,-0.025858641,-0.009453197,-0.007335879,0.007796351
14.04.1997,0.007283801,-0.005707335,-0.006193727,0.002122087
15.04.1997,0.014025901,0.008374894,0.008984237,0.016799105
16.04.1997,0.010635191,-0.007185517,-0.000457869,0.005627917
17.04.1997,-0.001429462,-0.004417708,0.00524809,-0.001544557
18.04.1997,0.00564989,0.004248489,0.003325644,-0.002469564
21.04.1997,-0.009191956,0.024066936,0.005629177,0.005605046
22.04.1997,0.017240062,0.001285229,0.003982204,-0.01107154
23.04.1997,-0.000195321,0.000550105,-0.00028764,0.002601326
24.04.1997,-0.002735032,-0.005956199,0.002040022,-0.011403582
25.04.1997,-0.00968928,-0.008204277,-0.005984546,-0.005573546
28.04.1997,0.009601485,-0.003717818,0.003620599,-0.00812339
29.04.1997,0.026149209,0.011381659,0.013361091,0.009463113
30.04.1997,0.009679078,-0.011253574,-0.005366654,0.008361145
01.05.1997,-0.002283836,0.00531766,0.002636613,0.005530219
02.05.1997,0.01918731,-0.006588716,-0.002289192,-0.001264885
05.05.1997,0.022059139,0.003176086,0.001729955,-0.001420425
06.05.1997,-0.003919099,0.008194432,0.022022052,0.010349515
