date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
2000-01-03,3.660058,36.607667,28.193577,15.563386,46.236976,23.546781,34.978708,23.97137,29.904544,74.368453,47.415418,89.257529,30.497469,30.233512,29.298051,18.196179,26.241833,31.534758,35.131862,39.840438,4.994681,18.393265,34.712452,21.404061,6.034763,22.441478,NA,25.114491,50.06267,26.056526
2000-01-04,3.351477,35.225419,28.14973,15.363343,43.642999,23.546781,34.978708,25.375552,28.708363,69.684241,44.915084,86.227774,29.073377,29.126658,28.655206,18.216352,25.703751,30.281721,33.898026,38.494621,4.722244,17.708025,34.044516,21.120295,5.957572,21.521378,NA,24.302656,48.189418,25.557438
2000-01-05,3.400523,34.330724,29.903607,15.723421,43.509289,23.969145,36.559477,26.428688,28.658525,66.421081,45.824296,89.257529,29.314377,29.434117,28.478319,18.377737,26.11766,31.158847,35.22927,38.900502,4.994681,17.996547,33.39682,20.958143,5.943542,21.09499,NA,25.114491,47.20596,26.950724
2000-01-06,3.106247,35.030163,30.210536,16.523595,42.787254,24.989857,38.476582,25.375552,29.041672,69.263188,43.642187,87.718606,27.605467,30.356495,28.882628,18.39791,25.745142,33.664921,35.521494,37.597410000000004,4.968735,18.645721,34.935098000000004,21.363523,6.161077,22.104856,NA,24.986917,47.721105,28.34401
2000-01-07,3.253385,35.54017,31.087474,17.063713,45.301005,25.42982,38.543847,24.974363,30.166209,69.526346,46.187981,87.333875,28.74474,31.647825,29.41328,19.608299,26.407396,34.333207,38.930778,38.08874,4.968735,19.908004,37.728286,22.214821,6.883839,22.980074,NA,24.802416,51.327116,28.260829
2000-01-10,3.196165,36.03561,30.649005,16.503591,46.985753,24.743479,37.669377,28.785705,30.153752,71.052662,45.960678,90.796451,30.059286,30.84843,28.9079,18.982932,26.531569,34.166135,37.79435,38.366448,5.053063,19.871939,37.546122,21.809441,6.764549,23.204489,NA,24.670627,50.390489,27.865718
2000-01-11,3.032678,36.370751,30.078995,16.243534,45.568425,24.514698,36.996712,29.086608,30.20359,71.421083,44.778702,91.565913,31.43956,30.950917,28.225633,19.628472,27.152433,33.581385,37.924228,37.383789,5.306038,19.619482,38.133096,21.566213,6.778587,22.665893,NA,24.439999,49.641188,27.948899
2000-01-12,2.850799,36.181323,30.210536,16.523595,44.418518,24.426706,37.164877,27.030484,30.303275,71.052662,44.415018,91.950644,31.987287,30.663955,28.402511,19.850377,28.311378,33.664921,38.671023,36.166145,5.124413,20.268656,37.89021,21.606751,6.715427,23.182047,NA,23.616326,48.751393,27.782537
2000-01-13,3.163467,36.370751,29.728219,16.703634,45.434715,24.655486,36.862177,27.933165,30.652158,71.157925,45.187848,90.988817,31.92156,30.62296,28.832093,19.54778,28.021642,33.664921,38.83337,36.849735,5.189279,21.350613,37.242514,22.052669,6.925946,23.428903,NA,23.431826,48.798225,28.427191
2000-01-14,3.284039,37.186761,30.86824,16.623617,46.02304,24.4971,36.265182,26.930181,30.103905,72.105294,45.051466,92.046826,36.128107,30.725447,29.868124,19.709165,28.218251,33.18459,38.508677,38.366448,5.325496,21.350613,37.89021,22.052669,6.918922,22.912749,NA,23.748114,48.329912,27.865718
